Van	Tem	Postcode	StraatID	Soort
50	58	7881PK	2994	1
61	81	7881PL	2994	0
51	59	7881PK	2994	0
60	82	7881PL	2994	1
2	16	7881VG	2995	1
32	82	7881VH	2995	1
27	81	7881VH	2995	0
1	25	7881VG	2995	0
9	13	7881NW	2996	0
1	9	7881BL	2997	0
4	18	7881CK	2998	1
76	92	7881CN	2998	1
5	17	7881CK	2998	0
22	46	7881CL	2998	1
19	45	7881CL	2998	0
48	70	7881CM	2998	1
47	71	7881CM	2998	0
93	103	7881CP	2998	0
94	102	7881CP	2998	1
73	91	7881CN	2998	0
110	154	7881VR	2998	1
105	151	7881VR	2998	0
41	63	7881AC	2999	0
110	150	7881AG	2999	1
88	108	7881AE	2999	1
87	109	7881AE	2999	0
64	86	7881AD	2999	1
42	62	7881AC	2999	1
111	141	7881AG	2999	0
21	39	7881AB	2999	0
